id,english,gikuyu,domain,notes
43,My grandmother still remembers all the old stories.,Cûcû witû noaririkanaga ng'ano cia tene,Family & Relationships,Alt: tûrûgano twa tene
44,The eldest son is responsible for his younger siblings.,Kahîî karîa gakûrû nîko kamenyagîrîra twana tûria twao tûnini,Family & Relationships,Alt form for older contexts: kîhîî kîrîa gîkûrû
45,We are gathering the whole family for Christmas this year.,Andû othe a mûciî nîtûracemania thigûkû ya kirithimathi mwaka ûyû,Family & Relationships,Alt: Bamîrî yothe
46,My uncle lives in Nairobi and visits us during holidays.,Mama witû aikaraga Nairobi na nîokaga gûtûcerera hîndî ya thigûkûû,Family & Relationships,
47,She got married last year and now has a beautiful baby.,Ahikire mwaka ûcio ûrathirire na rîu ena kaana gathaka,Family & Relationships,
48,Children should respect their elders in all circumstances.,Ciana ciathîkagîre akûrû aao hîndî ciothe,Family & Relationships,Alt: mahinda mothe
49,His father passed away when he was still very young.,Baba wao agîkua kaarî kamwana kanini muno,Family & Relationships,Alt: baba wao akuire ge kamwana kanini muno
50,Our clan has lived on this land for many generations.,Mûhîrîga wiitu ûikarîte mûgûnda ini ûyû njiarwa nyingî mûno,Family & Relationships,
51,The bride price was agreed upon by both families.,Rûracio nîrûretîkanîirio nî nyûmba/bamîrî cierî,Family & Relationships,
52,We name our children after our grandparents as a tradition.,Twitaga ciana ciitû marîtwa ma maithe maitû o ta mûtugo,Family & Relationships,
53,Send me the document on WhatsApp when you are done.,Ndûmîra iratathi rîu kûgerera WhatsApp warîkia.,Technology & Digital,Note: no direct Gikuyu word for 'document'; iratathi used
54,My phone battery is dead and I need a charger.,Ihiga rîa thimû yakwa nîrîathira mwaki na nîngwenda chanja,Technology & Digital,Alt: canja
55,I will call you back when I get network signal.,Nîngûkûhûrîra ndakinya handû he na netiwaki,Technology & Digital,
56,You can pay using your mobile money account.,No ûrîhe ûkîhûthîra thimû/akauti ya thimû,Technology & Digital,
57,The internet connection in this area is very poor.,Hinya wa mutambo wa intaneti wî thî mûno gûkû,Technology & Digital,
58,Please enter your PIN number to confirm the transaction.,Hihinya amba yaku ya thiri wîtîkîrie marîhi,Technology & Digital,
59,The television news starts at seven o'clock every evening.,Mohoro ma televisheni manjagîrîria thaa îmwe cia o hwainî,Technology & Digital,Alt: tv
60,She learned how to use a computer at the youth centre.,Erutîire kûhûthîra mûtambo wa kompiuta harîa kambî-inî ya mbeû njîthî,Technology & Digital,
61,Save your work regularly so you do not lose it.,Hingagîra wîra waku maita maingî niguo ndûkoore,Technology & Digital,
62,Download the application on your phone to access the service.,Îkîra ihûthîro rîu thimûini yaku nîgetha waamûkîre ûtungata,Technology & Digital,
63,Every citizen has the right to vote in a free election.,Mûikari o wothe ena rûtha rwa gûikia kura yake gîghuranoiini kîîna waaraganu,Government & Civic,
64,The county government is building a new health centre in our ward.,Thirikari ya matûûra nî îraka thibitarî njerû itûûra-ini riitû,Government & Civic,
65,You need a national identity card to access most government services.,Ûbatiî gûkorwo na gîbandî nîguo waamûkîre maûtungata ma thirikari,Government & Civic,Alt: kîbandî
66,Report any corruption to the relevant authorities immediately.,Thitanga gîîko o gîothe kîa ungumania kûrîa cibatiî,Government & Civic,
67,The law protects all citizens equally regardless of background.,Watho ûgitagîra aikari othe ûtegûthurania kûrîa mûndû aumîte,Government & Civic,
68,Register your business to operate legally in this country.,Andîkithia biacara yaku nigetha ûhote kûmîtwara na mbere ûtekuna watho wa bûrûri,Government & Civic,
69,Public water and electricity are managed by the government.,Maai na thitima cia mûingi ciroragwo ni thirikari,Government & Civic,
70,The budget for this financial year has been approved by parliament.,Mbajeti ya mwaka ûyû nîyahîtûkio ni nyûmba ya icirîro/mbunge,Government & Civic,
71,Mount Kenya is the highest mountain in Kenya.,Kîrîma gîa Kenya nîkîo kînene/kîraihu mûno thîinî wa Kenya,Environment & Nature,
72,We must protect the forests to preserve our water sources.,Nomûhaka tûmenyerere mîtitû iitû nîguo tûgitîre njûûî ciitû,Environment & Nature,
73,The dry season has been very long and the rivers are low.,Kîmera kîa riûa nî gîikarîte mûno na njûûî cikahûa,Environment & Nature,
74,Cutting down trees causes flooding during the rainy season.,Gûtema mîtî nîgûtûmaga kûgîe na mwaraho wa kîguû hîndî ya mbura,Environment & Nature,
75,The birds sing loudest just before sunrise in the morning.,Nyoni ciinaga cianîrîire riûa rîtanaratha rûciinî,Environment & Nature,
76,We collect rainwater in tanks for use during dry periods.,Tûigaga maaî ma mbura matangi-inî nîguo tûmahûthîre hîndî ya riûa,Environment & Nature,
77,The fig tree is considered sacred by our community.,Mûtî wa mûgumo nî mûtherû rûrîrî-inî ruitû,Environment & Nature,Alt: muthingu
78,Climate change is making rainfall patterns unpredictable.,Gûcenjia kwa rîera nîgûtûmîte mbura yaage kwîhokeka,Environment & Nature,
79,I am very happy because my results were excellent.,Ndî na gîkeno mûno tondû maûmîrîra makwa nî meega,Emotions & Mental States,
80,She felt very sad when she heard the news.,Nîagîire ihooru aigua ûhoro ûcio,Emotions & Mental States,
81,"Do not be afraid, everything will be alright.","Ndûgetigîre, maûndû nîmekwagîra",Emotions & Mental States,
82,He was very angry when he found out what happened.,Nîarakarire mûno aigua ûrîa kwahanîkire,Emotions & Mental States,
83,I feel proud of what my children have achieved.,Nîndîretîîra ciana ciakwa nîûndû wa marîa ciîhotanîire,Emotions & Mental States,
84,She has been feeling lonely since she moved to the city.,Nîakoretwo na ihooru kuuma athamîre mûciî mûnene,Emotions & Mental States,
85,We were surprised by how quickly the situation changed.,Nîtûragegirio nî ûrîa maûndû macenjetie,Emotions & Mental States,
86,He is anxious about the test results coming out tomorrow.,Ena wagagu nîûndû wa maumîrîra marîa matanyîîtwo rûciû,Emotions & Mental States,
87,"If it rains tonight, we will not go to the market tomorrow.","Mbura yaura ûmûthî ûtukû, tûtigathiî ndûnyû rûciû",Complex Syntax & Questions,Alt: kwaura
88,Why did you not tell me about this problem earlier?,Waregete kûnjîra ûhoro wa thîna ûcio tene nîkî?,Complex Syntax & Questions,
89,When will the bus from Nairobi arrive at the stage?,Mbathibya kuuma Nairobi îgûkinya thitînji thaa cigana?,Complex Syntax & Questions,
90,"Although she was tired, she still finished all her work.","Ona gûkorwo ararî mûnogu, nîararîkirie wîra wake wothe",Complex Syntax & Questions,
91,Which house did you grow up in as a child?,Wakûrîire kû ûnyinyi-inî waku?,Complex Syntax & Questions,
92,Tell me what you need and I will try to help you.,Njîra kîrîa ûrabatara nîngûgûteithia,Complex Syntax & Questions,
93,He said that he would come but he never arrived.,Augire nîegûka no ndakinyire,Complex Syntax & Questions,
94,I do not understand why this problem keeps happening.,Ndiramenya nîkî gîtûmaga thîna ûyû ûgecokera,Complex Syntax & Questions,Alt: ûgacokacoka
95,"Before you leave, make sure you have everything you need.",Ûtanauma haha rora kana wîna kîrîa gîothe ûbataire,Complex Syntax & Questions,
96,How long have you been waiting here for the doctor?,Wetereire ndagîtarî haha kahinda kaigana atîa?,Complex Syntax & Questions,
97,Neither the mother nor the father was at home that day.,Nyina kana ithe matiarî mûciî mûthenya ûcio.,Complex Syntax & Questions,Alt: Nyina na ithe gûtirî mûndû warî mûciî mûthenya ûcio.
98,Who is the person responsible for managing this project?,Nûû ûranyabara wîra ûyû?,Complex Syntax & Questions,Note: no specific Gikuyu word for 'project'; alt: nûû ûrûgamîrîire
99,"Even though it was difficult, she refused to give up.","Ona gûkorwo nî hararî haritû, nîararegire gûkua ngoro",Complex Syntax & Questions,Alt: ndanakua ngoro
100,I wish I had known about this opportunity much earlier.,Narî korwo nîndîroî kaanya gaka hau gatene.,Complex Syntax & Questions,Alt: nîndîramenyete
